num_commits,num_branches,num_packages,num_releases,num_stars,active_period
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
1,1,0,0,0,0.0
