num_commits,num_branches,num_packages,num_releases,num_stars,active_period
1,1,0,0,0,2.3148148148148147e-05
1,1,0,0,0,3.472222222222222e-05
1,1,0,0,0,3.472222222222222e-05
1,1,0,0,0,0.00019675925925925926
1,1,0,0,0,0.00019675925925925926
1,1,0,0,0,0.0002546296296296296
1,1,0,0,0,0.0002777777777777778
1,1,0,0,0,0.00028935185185185184
1,1,0,0,0,0.00032407407407407406
1,1,0,0,0,0.0003935185185185185
1,1,0,0,0,0.0004398148148148148
1,1,0,0,0,0.00045138888888888887
1,1,0,0,0,0.0004861111111111111
1,1,0,0,0,0.0005208333333333333
1,1,0,0,0,0.0005439814814814814
1,1,0,0,0,0.0005787037037037037
1,1,0,0,0,0.0006018518518518519
1,1,0,0,0,0.000625
1,1,0,0,0,0.0006481481481481481
1,1,0,0,0,0.0007060185185185185
1,1,0,0,0,0.0007175925925925926
1,1,0,0,0,0.0007407407407407407
1,1,0,0,0,0.0008217592592592593
1,1,0,0,0,0.0008449074074074074
1,1,0,0,0,0.0008796296296296296
1,1,0,0,0,0.0009027777777777777
1,1,0,0,0,0.0009837962962962962
1,1,0,0,0,0.0009953703703703704
1,1,0,0,0,0.001099537037037037
1,1,0,0,0,0.0011111111111111111
1,1,0,0,0,0.0011458333333333333
1,1,0,0,0,0.0013310185185185185
1,1,0,0,0,0.0015509259259259259
1,1,0,0,0,0.001736111111111111
1,1,0,0,0,0.0019097222222222222
1,1,0,0,0,0.0019560185185185184
1,1,0,0,0,0.0021296296296296298
1,1,0,0,0,0.0021296296296296298
1,1,0,0,0,0.002210648148148148
1,1,0,0,0,0.002384259259259259
1,1,0,0,0,0.002384259259259259
1,1,0,0,0,0.0024074074074074076
1,1,0,0,0,0.0026157407407407405
1,1,0,0,0,0.0027199074074074074
1,1,0,0,0,0.002777777777777778
1,1,0,0,0,0.0028125
1,1,0,0,0,0.0032523148148148147
1,1,0,0,0,0.003298611111111111
1,1,0,0,0,0.003587962962962963
1,1,0,0,0,0.0037847222222222223
1,1,0,0,0,0.0038425925925925928
1,1,0,0,0,0.0038773148148148148
1,1,0,0,0,0.003923611111111111
1,1,0,0,0,0.0043287037037037035
1,1,0,0,0,0.004340277777777778
1,1,0,0,0,0.004398148148148148
1,1,0,0,0,0.004479166666666667
1,1,0,0,0,0.004791666666666666
1,1,0,0,0,0.004965277777777778
1,1,0,0,0,0.0051736111111111115
1,1,0,0,0,0.00537037037037037
1,1,0,0,0,0.005381944444444444
1,1,0,0,0,0.005439814814814815
1,1,0,0,0,0.005520833333333333
1,1,0,0,0,0.005555555555555556
1,1,0,0,0,0.00619212962962963
1,1,0,0,0,0.006284722222222222
1,1,0,0,0,0.00636574074074074
1,1,0,0,0,0.0065625
2,1,0,0,0,0.00662037037037037
2,1,0,0,0,0.006655092592592593
2,1,0,0,0,0.006990740740740741
2,1,0,0,0,0.0071875
2,1,0,0,0,0.00730324074074074
2,1,0,0,0,0.007407407407407408
2,1,0,0,0,0.007488425925925926
